timestamp,MTL,BUF,entropy,metadata
13:42:38,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:43:08,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:43:39,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:44:09,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:44:40,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:45:10,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:45:41,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:46:11,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:46:42,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:47:13,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:47:43,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:48:13,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:48:44,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
13:49:14,"{'H': 1.2364, 'psi_sq': 63.56, 'strike': 80.5, 'amp': 1.266}","{'H': 1.2197, 'psi_sq': 63.39, 'strike': 74.48, 'amp': 1.175}",0.685,"{'Hamiltonian': 'Total system energy (Kinetic + Potential).', 'Psi_Squared': 'Probability density of a state-change event (Goal).', 'Entropy': 'Measure of system chaos vs stability.', 'Road_Warrior_Bias': 'Multiplier for Buffalo road dominance (4-1 in playoffs).'}"
